task_id,description,oracle_architecture,estimated_sequential_depth,parallelization_factor,estimated_tool_count,num_subgoals,entity_count,constraint_tightness,open_endedness,aggregation_required,expected_retrieval_fanout,domain_span,expected_context_expansion,final_synthesis_complexity,cross_branch_dependency,communication_load_estimate
WB-000,nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-001,All my emails from santiago from the last 3 days need to be deleted. Can you do that?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-002,I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-003,I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-004,"I need to send an email to dmitri saying 'Hey dmitri,\n\nI have some ideas for the process review that I'd like to run by you. When are you free?\n\nThanks,\n\nSam' and title it 'Update on Product Launch Analysis'. Can you do that?",Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-005,Reply to yuki's last email about 'Update on Corporate Social Responsibility Initiative' with 'Thanks for the update - I will get back to you tomorrow.',Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-006,Reply to nia's last email about 'Task Update on Design logo for website' with 'Thanks for the update - I will get back to you tomorrow.',Single-Agent System,3,0.3,4,2,2,3,2,False,2,2,2,2,2,2
WB-007,can you forward my most recent email from olga to raj,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-008,"can you reply to the latest email from carlos with 'Got it, thank you!'",Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-009,"I need to reply to the latest email from amir with 'Got it, thank you!'. Can you do that?",Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-010,can you cancel my first meeting on December 8,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-011,can you cancel my first meeting on December 6,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-012,Can you change the name of the last event on November 30 to brainstorming session,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-013,please move my first meeting with amir on December 20 by 30 minutes,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-014,Push back my first meeting with dmitri on December 18 by 1 hours,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-015,I need to cancel my next meeting with fatima. Can you do that for me please?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-016,"If I haven't met with amir in the last 4 days, schedule a 30-minute meeting called 'catch-up' for my first free slot from tomorrow",Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-017,Delete my meetings on Friday before 12,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-018,Cancel my meetings on Friday before 10:30,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-019,something came up. Can you cancel my meetings on Friday before 10:30?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
