task_id,description,domains,sas_accuracy,sas_latency_sec,sas_total_tokens,sas_num_tool_calls,sas_outcome_match,sas_exact_side_effect_match,sas_error,cmas_accuracy,cmas_latency_sec,cmas_total_tokens,cmas_num_tool_calls,cmas_outcome_match,cmas_exact_side_effect_match,cmas_error,dmas_accuracy,dmas_latency_sec,dmas_total_tokens,dmas_num_tool_calls,dmas_outcome_match,dmas_exact_side_effect_match,dmas_error
WB-000,nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,"[""email""]",1.0,3.38,7909,3,True,True,,1.0,5.3224,10105,4,True,True,,1.0,3.9534,8167,3,True,True,
WB-001,All my emails from santiago from the last 3 days need to be deleted. Can you do that?,"[""email""]",1.0,2.4201,5157,2,True,True,,1.0,4.5384,5456,2,True,True,,0.0,3.7881,5401,2,False,False,
WB-002,I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?,"[""email""]",1.0,3.2463,5158,2,True,True,,1.0,3.4328,5457,2,True,True,,1.0,8.5602,5341,2,True,True,
WB-003,I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?,"[""email""]",1.0,2.5672,5466,3,True,True,,1.0,4.0331,5768,3,True,True,,1.0,2.9855,5643,3,True,True,
WB-004,"I need to send an email to dmitri saying 'Hey dmitri,\n\nI have some ideas for the process review that I'd like to run by you. When are you free?\n\nThanks,\n\nSam' and title it 'Update on Product Launch Analysis'. Can you do that?","[""email""]",0.0,2.5591,5138,2,False,False,,0.0,4.5772,5506,2,False,False,,0.0,2.3891,3610,1,False,False,
WB-005,Reply to yuki's last email about 'Update on Corporate Social Responsibility Initiative' with 'Thanks for the update - I will get back to you tomorrow.',"[""email""]",1.0,2.6189,5441,2,True,False,,1.0,4.567,5748,2,True,False,,1.0,3.0385,5625,2,True,False,
WB-006,Reply to nia's last email about 'Task Update on Design logo for website' with 'Thanks for the update - I will get back to you tomorrow.',"[""email""]",1.0,2.8491,5233,2,True,False,,1.0,4.6493,8390,3,True,False,,1.0,2.8529,5409,2,True,False,
WB-007,can you forward my most recent email from olga to raj,"[""email""]",1.0,4.2972,8667,3,True,True,,1.0,5.0113,8964,3,True,True,,1.0,3.8583,8862,3,True,True,
WB-008,"can you reply to the latest email from carlos with 'Got it, thank you!'","[""email""]",1.0,4.3841,7914,3,True,False,,1.0,7.4835,10106,4,True,False,,1.0,3.5209,6350,2,True,False,
WB-009,"I need to reply to the latest email from amir with 'Got it, thank you!'. Can you do that?","[""email""]",1.0,2.8849,6178,2,True,False,,1.0,4.1926,6473,2,True,False,,1.0,2.9138,6396,2,True,False,
WB-010,can you cancel my first meeting on December 8,"[""calendar""]",1.0,2.9427,5249,2,True,True,,1.0,4.2577,5511,2,True,True,,1.0,3.2136,5437,2,True,True,
WB-011,can you cancel my first meeting on December 6,"[""calendar""]",1.0,2.3752,5242,2,True,True,,1.0,4.3725,5500,2,True,True,,1.0,3.2742,5401,2,True,True,
WB-012,Can you change the name of the last event on November 30 to brainstorming session,"[""calendar""]",1.0,3.489,5392,2,True,True,,1.0,3.7484,5689,2,True,True,,1.0,3.0643,5578,2,True,True,
WB-013,please move my first meeting with amir on December 20 by 30 minutes,"[""calendar""]",1.0,2.6145,5092,2,True,True,,1.0,3.9726,5374,2,True,True,,1.0,3.173,5294,2,True,True,
WB-014,Push back my first meeting with dmitri on December 18 by 1 hours,"[""calendar""]",1.0,2.6654,5215,2,True,True,,1.0,4.4827,5516,2,True,True,,1.0,3.2951,5406,2,True,True,
WB-015,I need to cancel my next meeting with fatima. Can you do that for me please?,"[""calendar""]",1.0,2.9472,5003,2,True,True,,1.0,4.5083,7807,3,True,True,,1.0,3.0023,5177,2,True,True,
WB-016,"If I haven't met with amir in the last 4 days, schedule a 30-minute meeting called 'catch-up' for my first free slot from tomorrow","[""calendar""]",0.0,3.4375,6791,3,False,False,,0.0,6.3771,9062,4,False,False,,0.0,3.4297,7024,3,False,False,
WB-017,Delete my meetings on Friday before 12,"[""calendar""]",1.0,2.7797,5311,3,True,True,,1.0,4.2879,5564,3,True,True,,1.0,4.1102,7407,3,True,True,
WB-018,Cancel my meetings on Friday before 10:30,"[""calendar""]",1.0,6.8375,5202,3,True,True,,1.0,5.0459,7284,3,True,True,,1.0,3.1861,5367,3,True,True,
WB-019,something came up. Can you cancel my meetings on Friday before 10:30?,"[""calendar""]",1.0,2.9552,5228,3,True,True,,1.0,10.7421,10200,4,True,True,,1.0,3.5525,5407,3,True,True,
WB-020,Please plot for me the distribution of total visits and average session duration between November 15 and November 24,"[""analytics""]",1.0,2.1145,4399,2,True,False,,0.0,5.7873,10155,4,False,False,,0.0,3.8471,7544,4,False,False,
WB-021,Please plot for me the distribution of total visits and average session duration between November 24 and November 28,"[""analytics""]",1.0,2.0759,4397,2,True,False,,0.0,6.2073,7408,4,False,False,,0.0,4.9521,9616,4,False,False,
WB-022,"was total visits more than 3 at any time since October 6? If so, please plot it as a line chart","[""analytics""]",1.0,3.2613,7580,2,True,False,,0.0,2.4751,241,0,False,False,,0.0,4.2138,7869,2,False,False,
WB-023,Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?,"[""analytics""]",0.0,2.6034,7027,2,False,False,,0.0,1.871,275,0,False,False,,0.0,3.2089,7299,2,False,False,
WB-024,"Was average session duration less than 2 at any time in the last 2 weeks? If so, please plot it as a line chart","[""analytics""]",1.0,1.7989,4402,1,True,True,,1.0,3.9863,4741,1,True,True,,1.0,2.1821,4604,1,True,True,
WB-025,"If average session duration is more than 3% lower than October 4, make a line plot of it since then","[""analytics""]",1.0,2.3969,8172,2,True,False,,0.0,5.4244,11750,3,False,False,,0.0,5.0467,11608,3,False,False,
WB-026,"Is total visits more than 2% lower than it was on Saturday? If so, please plot it as a line chart since then","[""analytics""]",0.0,2.9885,6482,2,False,False,,1.0,5.209,9231,3,True,False,,1.0,3.9926,9117,3,True,False,
WB-027,"Was total visits on monday more than 5% higher than it was the previous monday? If so, please plot it as a line chart","[""analytics""]",0.0,2.9328,6597,2,False,False,,1.0,1.8458,258,0,True,True,,0.0,4.2453,6850,2,False,False,
WB-028,"If engaged users on sunday was more than 2% lower than it was the previous sunday, make a line plot of it over that period.","[""analytics""]",0.0,3.2151,6770,3,False,False,,0.0,1.8154,260,0,False,False,,0.0,5.2557,9505,3,False,False,
WB-029,"if engaged users grew by more than total visits since Tuesday, make a line plot of both since then","[""analytics""]",0.0,1.8472,4294,2,False,False,,0.0,4.9809,6918,3,False,False,,0.0,4.1583,6882,3,False,False,
WB-030,Move all of kofi's tasks that are in progress to in review,"[""project_management""]",1.0,3.6959,6752,3,True,True,,1.0,4.5905,6882,3,True,True,,1.0,3.9943,6803,3,True,True,
WB-031,I need to add a new task to the Design backlog called Develop prototype for data export and assign it to fatima. It's due on December 6. Can you do that?,"[""project_management""]",1.0,3.3354,6824,3,True,False,,1.0,4.0344,5316,2,True,False,,1.0,3.4,5195,2,True,False,
WB-032,Add a new task to the Front end backlog called Integrate Twilio SMS API with frontend and assign it to santiago. It's due on December 7.,"[""project_management""]",1.0,3.3757,6814,3,True,False,,1.0,5.3241,5319,2,True,False,,1.0,3.4495,5213,2,True,False,
WB-033,Add a new task to the Front end backlog called Fix bug in user authentication module and assign it to yuki. It's due on December 6.,"[""project_management""]",1.0,3.2646,6803,3,True,False,,1.0,4.4794,5356,2,True,False,,1.0,3.9183,5181,2,True,False,
WB-034,can you move all of aisha's overdue tasks in the backlog to in progress?,"[""project_management""]",0.0,10.5245,27684,11,False,False,,0.0,8.8166,17686,7,False,False,,0.0,6.8529,17565,7,False,False,
WB-035,fatima has a bunch of overdue tasks in the backlog. Can you move them to in progress?,"[""project_management""]",0.0,5.5705,8988,15,False,False,,0.0,6.7514,9293,15,False,False,,1.0,3.9681,5145,2,True,True,
