task_id,description,oracle_architecture,oracle_accuracy,oracle_latency_sec,oracle_total_tokens,router_prediction,perfect_routing,accuracy_regret,latency_regret_sec,token_regret
qa_1_000000,"What was the total amount spent by VALERO ENERGY CORP/TX on share repurchases during the fourth quarter of 2024, and what was the average price paid per share?",Decentralized MAS,1.0,5.3984,5599,,,,,
qa_1_000001,"What was the return on plan assets (ROPA) for VALERO ENERGY CORP/TX's pension plans in 2025, and how did it compare to the previous year?",Single-Agent System,0.5,3.5164,2936,,,,,
qa_1_000002,"What is the current state of VALERO ENERGY CORP/TX's information security program and framework in 2025, and how does it contribute to the company's overall risk management strategy?",Single-Agent System,1.0,6.5062,5061,,,,,
qa_1_000003,"What was the average age of the executive officers of VALERO ENERGY CORP/TX as of December 31, 2024, and what insights can be drawn from this metric regarding leadership tenure and potential succession planning in 2025?",Single-Agent System,1.0,6.2522,2573,,,,,
qa_1_000004,"What was the trend in Valero Energy Corp/TX's environmental enforcement matters settlements during 2020, and what were the associated civil penalties?",Single-Agent System,1.0,3.5622,1464,,,,,
qa_1_000005,"What was the total value of shares purchased by VALERO ENERGY CORP/TX during the third quarter of 2020, and how does this impact their liquidity position?",Single-Agent System,0.5,3.0991,1654,,,,,
qa_1_000006,"What is the potential impact on VALERO ENERGY CORP/TX's fair value of derivative instruments due to a 10% increase or decrease in underlying commodity prices as of June 30, 2022?",Single-Agent System,1.0,2.3331,3002,,,,,
qa_1_000007,"What was the total amount spent by VALERO ENERGY CORP/TX on share repurchases during the second quarter of 2022, and how does this compare to their remaining authorization as of June 30, 2022?",Single-Agent System,1.0,3.3128,1622,,,,,
qa_1_000008,"What was the strategic significance of Ms. Ffolkes's election to the Board of Directors for VALERO ENERGY CORP/TX in 2022, and how might this impact the company's future performance?",Decentralized MAS,1.0,10.1516,10114,,,,,
qa_1_000009,What are the strategic implications of Joseph W. Gorder's retirement as Executive Chairman and board member on VALERO ENERGY CORP/TX's leadership structure in 2024?,Single-Agent System,1.0,4.2837,1412,,,,,
qa_3_000000,"In 2020, what were the key governance policies and internal control mechanisms reported by CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP, and how do these compare in terms of effectiveness and their influence on company performance?",Single-Agent System,0.5,6.4404,8188,,,,,
qa_3_000001,"How did the corporate governance practices of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 address potential risks related to executive roles and board oversight, and what implications might this have for their strategic direction and financial health?",Single-Agent System,1.0,6.236,8149,,,,,
qa_3_000002,"How did the corporate governance structure and leadership experience at CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 relate to their respective financial performance, particularly in terms of asset management and liabilities?",Decentralized MAS,0.5,14.3931,71900,,,,,
qa_3_000003,"What insights can be drawn from the 2020 corporate governance disclosures of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP regarding their impact on financial risks, such as asset fluctuations and revenue declines?",Single-Agent System,0.5,8.559,46281,,,,,
qa_3_000004,"In 2020, how did the types and severity of regulatory risks disclosed by CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP differ, and what were their respective management approaches?",Decentralized MAS,1.0,11.7052,30332,,,,,
qa_3_000005,"Compare the financial risks, including indebtedness and financing needs, for CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020, and analyze their implications for risk severity and mitigation strategies.",Decentralized MAS,1.0,16.0614,31690,,,,,
qa_3_000006,"How did the litigation and operational risks disclosed by CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 differ in terms of type, potential impact, and the companies' approaches to risk management?",Single-Agent System,1.0,10.7301,24674,,,,,
qa_3_000007,"How did the business strategies of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 relate to their primary risk exposures, particularly regarding revenue generation and regulatory challenges?",Single-Agent System,1.0,9.0932,37450,,,,,
qa_3_000008,"In 2020, how did the financial stability and funding strategies of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP influence their risk management approaches, particularly in terms of indebtedness and capital needs?",Single-Agent System,0.5,8.4305,36040,,,,,
qa_3_000009,"How did the operational and environmental strategies of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 contribute to their specific risk factors, such as regulatory compliance and resource management?",Single-Agent System,0.5,7.3935,14807,,,,,
qa_2_000000,How did AGILYSYS INC's strategic direction and business model evolve from its origins to its focus in 2019 and 2020?,Single-Agent System,1.0,4.6207,2369,,,,,
qa_2_000001,What were the major strategic initiatives and decisions undertaken by AGILYSYS INC between 2019 and 2020 to support its hospitality-focused strategy?,Single-Agent System,1.0,5.5675,4029,,,,,
qa_2_000002,How did AGILYSYS INC's total revenue and its composition change from fiscal 2019 to fiscal 2020?,Single-Agent System,1.0,3.901,2211,,,,,
qa_2_000003,"How did the significance of recurring revenue streams, specifically Support, maintenance and subscription services, evolve for AGILYSYS INC from 2019 to 2020 in terms of financial strategy?",Single-Agent System,1.0,3.6691,2210,,,,,
qa_2_000004,How did AGILYSYS INC's core Point-of-Sale (POS) and Property Management System (PMS) product offerings evolve from the descriptions in 2019 to those in 2020?,Single-Agent System,0.0,4.3715,3718,,,,,
qa_2_000005,How did the branding and composition of AGILYSYS INC's ecosystem of complementary applications change between 2019 and 2020?,Decentralized MAS,0.5,7.2178,6991,,,,,
qa_2_000006,"How did AGILYSYS INC's global employee count and geographic distribution change from March 31, 2020, to March 31, 2021?",Single-Agent System,0.5,9.315,21980,,,,,
qa_2_000007,"What operational efficiency measures were highlighted in AGILYSYS INC's history, and how did operational structure adapt to the COVID-19 pandemic as of 2020?",Single-Agent System,0.5,3.7436,2102,,,,,
qa_2_000008,How did AGILYSYS INC's estimated total addressable market and its description of key competitors evolve from 2019 to 2020?,Decentralized MAS,0.5,9.5463,28067,,,,,
qa_2_000009,How did AGILYSYS INC's customer base characteristics and representative clients change from the 2019 to the 2020 description?,Decentralized MAS,0.5,9.8772,18556,,,,,
