task_id,description,oracle_architecture,oracle_accuracy,oracle_latency_sec,oracle_total_tokens,router_prediction,perfect_routing,accuracy_regret,latency_regret_sec,token_regret
qa_1_000000,"What was the total amount spent by VALERO ENERGY CORP/TX on share repurchases during the fourth quarter of 2024, and what was the average price paid per share?",Single-Agent System,0.0,0.0,0,Single-Agent System,True,0.0,0.0,0
qa_1_000001,"What was the return on plan assets (ROPA) for VALERO ENERGY CORP/TX's pension plans in 2025, and how did it compare to the previous year?",Single-Agent System,0.0,0.0,0,Single-Agent System,True,0.0,0.0,0
qa_1_000002,"What is the current state of VALERO ENERGY CORP/TX's information security program and framework in 2025, and how does it contribute to the company's overall risk management strategy?",Single-Agent System,1.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_1_000003,"What was the average age of the executive officers of VALERO ENERGY CORP/TX as of December 31, 2024, and what insights can be drawn from this metric regarding leadership tenure and potential succession planning in 2025?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_1_000004,"What was the trend in Valero Energy Corp/TX's environmental enforcement matters settlements during 2020, and what were the associated civil penalties?",Single-Agent System,0.5,0.0,0,Single-Agent System,True,0.0,0.0,0
qa_1_000005,"What was the total value of shares purchased by VALERO ENERGY CORP/TX during the third quarter of 2020, and how does this impact their liquidity position?",Single-Agent System,0.5,0.0,0,Single-Agent System,True,0.0,0.0,0
qa_1_000006,"What is the potential impact on VALERO ENERGY CORP/TX's fair value of derivative instruments due to a 10% increase or decrease in underlying commodity prices as of June 30, 2022?",Single-Agent System,0.5,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_1_000007,"What was the total amount spent by VALERO ENERGY CORP/TX on share repurchases during the second quarter of 2022, and how does this compare to their remaining authorization as of June 30, 2022?",Single-Agent System,0.0,0.0,0,Single-Agent System,True,0.0,0.0,0
qa_1_000008,"What was the strategic significance of Ms. Ffolkes's election to the Board of Directors for VALERO ENERGY CORP/TX in 2022, and how might this impact the company's future performance?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_1_000009,What are the strategic implications of Joseph W. Gorder's retirement as Executive Chairman and board member on VALERO ENERGY CORP/TX's leadership structure in 2024?,Single-Agent System,0.5,0.0,0,Single-Agent System,True,0.0,0.0,0
qa_3_000000,"In 2020, what were the key governance policies and internal control mechanisms reported by CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP, and how do these compare in terms of effectiveness and their influence on company performance?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
