task_id,description,oracle_architecture,oracle_accuracy,oracle_latency_sec,oracle_total_tokens,router_prediction,perfect_routing,accuracy_regret,latency_regret_sec,token_regret
WB-000,nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,Single-Agent System,1.0,3.38,7909,Single-Agent System,True,0.0,0.0,0
WB-001,All my emails from santiago from the last 3 days need to be deleted. Can you do that?,Single-Agent System,1.0,2.4201,5157,Single-Agent System,True,0.0,0.0,0
WB-002,I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?,Single-Agent System,1.0,3.2463,5158,Single-Agent System,True,0.0,0.0,0
WB-003,I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?,Single-Agent System,1.0,2.5672,5466,Single-Agent System,True,0.0,0.0,0
WB-004,"I need to send an email to dmitri saying 'Hey dmitri,\n\nI have some ideas for the process review that I'd like to run by you. When are you free?\n\nThanks,\n\nSam' and title it 'Update on Product Launch Analysis'. Can you do that?",Decentralized MAS,0.0,2.3891,3610,Single-Agent System,False,0.0,0.17,1528
WB-005,Reply to yuki's last email about 'Update on Corporate Social Responsibility Initiative' with 'Thanks for the update - I will get back to you tomorrow.',Single-Agent System,1.0,2.6189,5441,Single-Agent System,True,0.0,0.0,0
WB-006,Reply to nia's last email about 'Task Update on Design logo for website' with 'Thanks for the update - I will get back to you tomorrow.',Single-Agent System,1.0,2.8491,5233,Single-Agent System,True,0.0,0.0,0
WB-007,can you forward my most recent email from olga to raj,Decentralized MAS,1.0,3.8583,8862,Single-Agent System,False,0.0,0.44,0
WB-008,"can you reply to the latest email from carlos with 'Got it, thank you!'",Decentralized MAS,1.0,3.5209,6350,Single-Agent System,False,0.0,0.86,1564
WB-009,"I need to reply to the latest email from amir with 'Got it, thank you!'. Can you do that?",Single-Agent System,1.0,2.8849,6178,Single-Agent System,True,0.0,0.0,0
WB-010,can you cancel my first meeting on December 8,Single-Agent System,1.0,2.9427,5249,Single-Agent System,True,0.0,0.0,0
WB-011,can you cancel my first meeting on December 6,Single-Agent System,1.0,2.3752,5242,Single-Agent System,True,0.0,0.0,0
WB-012,Can you change the name of the last event on November 30 to brainstorming session,Decentralized MAS,1.0,3.0643,5578,Single-Agent System,False,0.0,0.42,0
WB-013,please move my first meeting with amir on December 20 by 30 minutes,Single-Agent System,1.0,2.6145,5092,Single-Agent System,True,0.0,0.0,0
WB-014,Push back my first meeting with dmitri on December 18 by 1 hours,Single-Agent System,1.0,2.6654,5215,Single-Agent System,True,0.0,0.0,0
WB-015,I need to cancel my next meeting with fatima. Can you do that for me please?,Single-Agent System,1.0,2.9472,5003,Single-Agent System,True,0.0,0.0,0
WB-016,"If I haven't met with amir in the last 4 days, schedule a 30-minute meeting called 'catch-up' for my first free slot from tomorrow",Single-Agent System,0.0,3.4375,6791,Single-Agent System,True,0.0,0.0,0
WB-017,Delete my meetings on Friday before 12,Single-Agent System,1.0,2.7797,5311,Single-Agent System,True,0.0,0.0,0
WB-018,Cancel my meetings on Friday before 10:30,Decentralized MAS,1.0,3.1861,5367,Single-Agent System,False,0.0,3.65,0
WB-019,something came up. Can you cancel my meetings on Friday before 10:30?,Single-Agent System,1.0,2.9552,5228,Single-Agent System,True,0.0,0.0,0
WB-020,Please plot for me the distribution of total visits and average session duration between November 15 and November 24,Single-Agent System,1.0,2.1145,4399,Single-Agent System,True,0.0,0.0,0
WB-021,Please plot for me the distribution of total visits and average session duration between November 24 and November 28,Single-Agent System,1.0,2.0759,4397,Single-Agent System,True,0.0,0.0,0
WB-022,"was total visits more than 3 at any time since October 6? If so, please plot it as a line chart",Single-Agent System,1.0,3.2613,7580,Single-Agent System,True,0.0,0.0,0
WB-023,Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?,Centralized MAS,0.0,1.871,275,Single-Agent System,False,0.0,0.73,6752
WB-024,"Was average session duration less than 2 at any time in the last 2 weeks? If so, please plot it as a line chart",Single-Agent System,1.0,1.7989,4402,Single-Agent System,True,0.0,0.0,0
WB-025,"If average session duration is more than 3% lower than October 4, make a line plot of it since then",Single-Agent System,1.0,2.3969,8172,Single-Agent System,True,0.0,0.0,0
WB-026,"Is total visits more than 2% lower than it was on Saturday? If so, please plot it as a line chart since then",Decentralized MAS,1.0,3.9926,9117,Single-Agent System,False,1.0,0.0,0
WB-027,"Was total visits on monday more than 5% higher than it was the previous monday? If so, please plot it as a line chart",Centralized MAS,1.0,1.8458,258,Single-Agent System,False,1.0,1.09,6339
WB-028,"If engaged users on sunday was more than 2% lower than it was the previous sunday, make a line plot of it over that period.",Centralized MAS,0.0,1.8154,260,Single-Agent System,False,0.0,1.4,6510
WB-029,"if engaged users grew by more than total visits since Tuesday, make a line plot of both since then",Single-Agent System,0.0,1.8472,4294,Single-Agent System,True,0.0,0.0,0
WB-030,Move all of kofi's tasks that are in progress to in review,Single-Agent System,1.0,3.6959,6752,Single-Agent System,True,0.0,0.0,0
